Temps,EA04_D,Temps,EA15_D,Temps,EA26_D
0,0.0686967223882675,0,4.7413536272943,0,4.80208086594939
1E-6,0.0686967223882675,1E-6,4.73138232529163,1E-6,4.79711079644039
2E-6,0.0836306782439351,2E-6,4.73138232529163,2E-6,4.81202100496739
3E-6,0.0836306782439351,3E-6,4.73636797629297,3E-6,4.81202100496739
4E-6,0.0836306782439351,4E-6,4.73636797629297,4E-6,4.81202100496739
5E-6,0.0886086635291576,5E-6,4.7263966742903,5E-6,4.81202100496739
6E-6,0.0786526929587126,6E-6,4.73138232529163,6E-6,4.80208086594939
7E-6,0.07367470767349,7E-6,4.7263966742903,7E-6,4.80208086594939
8E-6,0.07367470767349,8E-6,4.73138232529163,8E-6,4.80208086594939
9E-6,0.07367470767349,9E-6,4.73636797629297,9E-6,4.80208086594939
1E-5,0.063718737103045,1E-5,4.73636797629297,1E-5,4.79711079644039
1.1E-5,0.0686967223882675,1.1E-5,4.73636797629297,1.1E-5,4.79214072693139
1.2E-5,0.0686967223882675,1.2E-5,4.73138232529163,1.2E-5,4.79711079644039
1.3E-5,0.07367470767349,1.3E-5,4.73138232529163,1.3E-5,4.80208086594939
1.4E-5,0.0686967223882675,1.4E-5,4.73636797629297,1.4E-5,4.80208086594939
1.5E-5,0.0537627665325999,1.5E-5,4.73636797629297,1.5E-5,4.78717065742239
1.6E-5,0.0686967223882675,1.6E-5,4.73636797629297,1.6E-5,4.80208086594939
1.7E-5,0.00398291368037462,1.7E-5,4.82112404331565,1.7E-5,4.82196114398539
1.8E-5,0.063718737103045,1.8E-5,4.75132492929697,1.8E-5,4.81202100496739
1.9E-5,0.0836306782439351,1.9E-5,4.73636797629297,1.9E-5,4.82196114398539
2E-5,0.07367470767349,2E-5,4.7413536272943,2E-5,4.80705093545839
2.1E-5,0.0786526929587126,2.1E-5,4.73138232529163,2.1E-5,4.80208086594939
2.2E-5,0.07367470767349,2.2E-5,4.73636797629297,2.2E-5,4.80705093545839
2.3E-5,0.0836306782439351,2.3E-5,4.73138232529163,2.3E-5,4.80705093545839
2.4E-5,0.0786526929587126,2.4E-5,4.73636797629297,2.4E-5,4.80208086594939
2.5E-5,0.0686967223882675,2.5E-5,4.73138232529163,2.5E-5,4.79214072693139
2.6E-5,0.07367470767349,2.6E-5,4.73636797629297,2.6E-5,4.80208086594939
2.7E-5,0.0786526929587126,2.7E-5,4.73138232529163,2.7E-5,4.80208086594939
2.8E-5,-6.83079088293016,2.8E-5,2.62743760272861,2.8E-5,-4.09434355515987
2.9E-5,-9.55374883394688,2.9E-5,4.05333378911018,2.9E-5,-5.54063378227875
3E-5,-10,3E-5,4.43224326521158,3E-5,-5.65494538098574
3.1E-5,-10,3.1E-5,4.48708542622626,3.1E-5,-5.65494538098574
3.2E-5,-9.69313242193311,3.2E-5,4.10817595012486,3.2E-5,-5.62015489442274
3.3E-5,-9.62344062794,3.3E-5,4.03837683610618,3.3E-5,-5.61518482491374
3.4E-5,-9.53383689280599,3.4E-5,3.9536207690835,3.4E-5,-5.60027461638674
3.5E-5,-9.29987158440054,3.5E-5,3.7492090780288,3.5E-5,-5.57542426884174
3.6E-5,-9.22022381983697,3.6E-5,3.66943866200745,3.6E-5,-5.56548412982374
3.7E-5,-9.0708842612803,3.7E-5,3.53981173597276,3.7E-5,-5.54560385178775
3.8E-5,-8.87674283515662,3.8E-5,3.36531395092607,3.8E-5,-5.53069364326075
3.9E-5,-8.75727118831128,3.9E-5,3.27557223290205,3.9E-5,-5.49590315669775
4E-5,-8.61788760032505,4E-5,3.12600270286202,4E-5,-5.50584329571575
4.1E-5,-8.47850401233882,4.1E-5,2.991390125826,4.1E-5,-5.49590315669775
4.2E-5,-8.34409840963781,4.2E-5,2.87672015279531,4.2E-5,-5.48099294817075
4.3E-5,-8.22462676279247,4.3E-5,2.76205017976463,4.3E-5,-5.47602287866175
4.4E-5,-8.08524317480624,4.4E-5,2.63740890473127,4.4E-5,-5.46608273964375
4.5E-5,-7.96079354267567,4.5E-5,2.51276762969792,4.5E-5,-5.45614260062575
4.6E-5,-7.83634391054511,4.6E-5,2.40308330766857,4.6E-5,-5.44620246160775
4.7E-5,-7.71189427841455,4.7E-5,2.28841333463788,4.7E-5,-5.43626232258975
4.8E-5,-7.59242263156921,4.8E-5,2.17872901260853,4.8E-5,-5.42135211406276
4.9E-5,-7.46797299943864,4.9E-5,2.06904469057918,4.9E-5,-5.40644190553576
5E-5,-7.35347933787853,5E-5,1.95936036854982,5E-5,-5.39650176651776
5.1E-5,-7.24396366160363,5.1E-5,1.86463299952447,5.1E-5,-5.38656162749976
5.2E-5,-7.12449201475829,5.2E-5,1.75993432849646,5.2E-5,-5.37662148848176
5.3E-5,-7.01995432376862,5.3E-5,1.66022130846977,5.3E-5,-5.37165141897276
5.4E-5,-6.91541663277894,5.4E-5,1.55053698644042,5.4E-5,-5.37165141897276
5.5E-5,-6.81087894178927,5.5E-5,1.45580961741507,5.5E-5,-5.36668134946376
