Temps,EA04_D,Temps,EA15_D,Temps,EA26_D
0,9.02907023578882,0,-3.50989877991378,0,5.52771101426333
1E-6,8.8697747066617,1E-6,-3.35534359887242,1E-6,5.52771101426333
2E-6,8.72541313339025,2E-6,-3.23070232383907,2E-6,5.50286066671833
3E-6,8.59100753068924,3E-6,-3.13098930381238,3E-6,5.47304024966434
4E-6,8.45660192798823,4E-6,-2.99139107577503,4E-6,5.47801031917334
5E-6,8.33713028114289,5E-6,-2.87672110274434,5E-6,5.46807018015534
6E-6,8.21268064901233,6E-6,-2.75706547871232,6E-6,5.45813004113734
7E-6,8.08325303159654,7E-6,-2.6374098546803,7E-6,5.45315997162834
8E-6,7.94884742889553,8E-6,-2.51775423064828,8E-6,5.43327969359234
9E-6,7.82439779676497,9E-6,-2.40806990861893,9E-6,5.41836948506534
1E-5,7.68999219406396,1E-5,-2.29838558658957,1E-5,5.39848920702934
1.1E-5,7.57052054721862,1.1E-5,-2.18371561355889,1.1E-5,5.39848920702934
1.2E-5,7.4560268856585,1.2E-5,-2.07403129152954,1.2E-5,5.38854906801134
1.3E-5,7.33157725352794,1.3E-5,-1.96933262050152,1.3E-5,5.37363885948434
1.4E-5,7.22703956253827,1.4E-5,-1.86961960047483,1.4E-5,5.36866878997535
1.5E-5,7.12747985683382,1.5E-5,-1.75993527844548,1.5E-5,5.36369872046635
1.6E-5,7.01796418055892,1.6E-5,-1.6602222584188,1.6E-5,5.35872865095735
1.7E-5,6.9034705189988,1.7E-5,-1.56050923839211,1.7E-5,5.34381844243035
1.8E-5,6.78897685743868,1.8E-5,-1.45082491636276,1.8E-5,5.33387830341235
1.9E-5,6.67946118116379,1.9E-5,-1.34612624533474,1.9E-5,5.33387830341235
2E-5,6.57492349017411,2E-5,-1.26137017831206,2E-5,5.32393816439435
2.1E-5,6.48034176975489,2.1E-5,-1.17162846028805,2.1E-5,5.31399802537635
2.2E-5,6.38078206405044,2.2E-5,-1.09684369526803,2.2E-5,5.28914767783135
2.3E-5,6.27624437306076,2.3E-5,-0.982173722237349,2.3E-5,5.29908781684935
2.4E-5,6.13188279978931,2.4E-5,-0.877475051209331,2.4E-5,5.25932726077735
2.5E-5,6.06716899108142,2.5E-5,-0.792718984186649,2.5E-5,5.27920753881335
2.6E-5,5.98752122651786,2.6E-5,-0.717934219166636,2.6E-5,5.26926739979535
2.7E-5,5.89791749138385,2.7E-5,-0.633178152143955,2.7E-5,5.26429733028635
2.8E-5,5.80831375624984,2.8E-5,-0.54343643411994,2.8E-5,5.25932726077735
2.9E-5,5.70875405054539,2.9E-5,-0.453694716095924,2.9E-5,5.24938712175935
3E-5,5.60919434484094,3E-5,-0.373924300074577,3E-5,5.23447691323236
3.1E-5,5.52456859499216,3.1E-5,-0.304125186055899,3.1E-5,5.22453677421436
3.2E-5,5.43994284514338,3.2E-5,-0.224354770034552,3.2E-5,5.21956670470536
3.3E-5,5.35531709529459,3.3E-5,-0.144584354013205,3.3E-5,5.21459663519636
3.4E-5,5.27069134544581,3.4E-5,-0.0697995889931917,3.4E-5,5.19968642666936
3.5E-5,5.19104358088225,3.5E-5,0.00498517602682114,3.5E-5,5.19968642666936
3.6E-5,5.11139581631869,3.6E-5,0.079769941046834,3.6E-5,5.19471635716036
3.7E-5,5.03174805175513,3.7E-5,0.154554706066847,3.7E-5,5.18477621814236
3.8E-5,4.95707827247679,3.8E-5,0.22933947108686,3.8E-5,5.18477621814236
3.9E-5,4.87743050791323,3.9E-5,0.299138585105538,3.9E-5,5.17980614863336
4E-5,4.80276072863489,4E-5,0.373923350125551,4E-5,5.17483607912436
4.1E-5,4.72809094935656,4.1E-5,0.438736813142896,4.1E-5,5.16489594010636
