temps,x,y
0.00,-9.476764,-4.120332,
0.03,-8.858714,-4.223340,
0.07,-8.240664,-4.944399,
0.10,-7.313590,-5.665457,
0.13,-5.253424,-6.901556,
0.17,-2.781224,-7.725623,
0.20,0.000000,-9.167739,
0.23,3.914316,-9.991805,
0.27,7.107573,-10.609855,
0.30,11.021889,-10.609855,
0.33,14.627179,-9.991805,
0.37,17.717428,-9.682781,
0.40,20.498652,-8.858714,
0.43,23.279877,-7.519606,
0.47,25.340043,-6.592531,
0.50,26.782159,-6.180498,
0.53,27.915250,-5.150415,
0.57,28.327284,-5.047407,
0.60,28.327284,-5.047407,
0.63,27.709234,-5.768465,
0.67,26.679151,-6.592531,
0.70,24.825001,-7.210581,
0.73,22.764835,-8.343673,
0.77,19.674586,-9.270747,
0.80,16.687345,-10.300830,
0.83,12.257988,-10.918880,
0.87,9.064731,-10.918880,
0.90,5.459440,-10.609855,
0.93,1.751141,-9.476764,
0.97,-1.030083,-8.755706,
1.00,-3.914316,-7.828631,
1.03,-5.974482,-6.592531,
1.07,-7.416598,-5.459440,
1.10,-8.343673,-4.635374,
1.13,-8.652698,-4.635374,
1.17,-8.858714,-4.223340,
